fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
497754776,497754781,4,2581,1946,2241.12,-0.282401,-27.9949,-23.6699,-25.8324,4.09
499531420,499531426,5,3014,1026,1758.51,-1.0776,-35.5471,-61.4329,-48.49,5.09
502980510,502980517,6,2782,1826,2253.87,-0.421042,-43.6187,-30.1696,-36.8942,6.09
503984122,503984124,1,4193,3591,3880.34,-0.154986,-7.57712,-17.7278,-12.6525,1.09
505456285,505456293,7,2418,1260,1745.47,-0.651829,-52.2974,-41.0681,-46.6828,7.09
506080529,506080534,4,2054,1421,1708.43,-0.368428,-27.9949,-27.6988,-27.8469,4.09
509399542,509399549,6,2493,1232,1752.53,-0.704848,-43.6187,-43.5858,-43.6022,6.09
509727029,509727030,0,42250,25535,32845.9,-0.503554,-1.22487,-34.0548,-17.6398,0.09
525419470,525419476,5,3703,1628,2455.3,-0.821791,-35.5471,-49.1573,-42.3522,5.09
529521758,529521765,6,2553,1466,1934.61,-0.554732,-43.6187,-36.4709,-40.0448,6.09
529801416,529801416,0,2095,1352,1682.99,-0.437969,-1.22487,-30.9656,-16.0952,0.09
536139029,536139031,1,1701,1948,1820.32,0.135587,-7.57712,-4.28904,-5.93308,1.09
536549446,536549445,-1,1638,2178,1888.8,0.284931,5.04683,2.55727,3.80205,-0.91
536871683,536871692,8,948,410,623.442,-0.838197,-61.6711,-49.9409,-55.806,8.09
540002363,540002359,-4,1074,2058,1486.71,0.650345,24.2562,19.1349,21.6955,-3.91
540653621,540653626,4,1836,971,1335.2,-0.637018,-27.9949,-40.3658,-34.1803,4.09
540925103,540925090,-13,619,63,197.477,-2.28497,105.971,-121.005,-7.51677,-12.91
550086821,550086838,16,1016,272,525.692,-1.31783,-172.21,-73.0709,-122.641,16.09
552850733,552850738,4,3097,1018,1775.6,-1.11259,-27.9949,-63.1215,-45.5582,4.09
563146851,563146858,6,4334,2160,3059.65,-0.696383,-43.6187,-43.1834,-43.4011,6.09
570579686,570579693,6,1967,1109,1476.96,-0.573051,-43.6187,-37.3369,-40.4778,6.09
573144669,573144676,6,4427,1315,2412.78,-1.21389,-43.6187,-68.0222,-55.8205,6.09
574019678,574019683,4,3541,1338,2176.66,-0.973233,-27.9949,-56.41,-42.2024,4.09
575274497,575274504,6,1806,860,1246.26,-0.741937,-43.6187,-45.3501,-44.4844,6.09
576963482,576963478,-4,984,1170,1072.98,0.173133,24.2562,-2.56395,10.8461,-3.91
577065813,577065794,-19,835,472,627.79,-0.570453,204.217,-37.2141,83.5016,-18.91
578229520,578229516,-4,32337,14105,21356.8,-0.829683,24.2562,-49.5342,-12.639,-3.91
579108439,579108446,6,3412,1640,2365.52,-0.732602,-43.6187,-44.9058,-44.2622,6.09
583274415,583274423,7,3139,1178,1922.95,-0.980086,-52.2974,-56.7392,-54.5183,7.09
584155450,584155443,-7,1250,7818,3126.1,1.83329,45.9003,71.1076,58.5039,-6.91
587587338,587587345,6,1808,919,1289.01,-0.67669,-43.6187,-42.2481,-42.9334,6.09
594288919,594288926,6,3426,1253,2071.9,-1.00585,-43.6187,-57.9777,-50.7982,6.09
602638149,602638156,6,1987,936,1363.76,-0.752766,-43.6187,-45.8657,-44.7422,6.09
603117984,603117987,2,1606,1228,1404.34,-0.26836,-14.0977,-23.0136,-18.5557,2.09
604168159,604168167,7,3385,1284,2084.79,-0.969374,-52.2974,-56.2246,-54.261,7.09
604196416,604196411,-5,1149,242,527.312,-1.55771,31.0834,-84.7987,-26.8577,-4.91
606738921,606738925,3,2302,1498,1856.99,-0.429647,-20.8744,-30.5742,-25.7243,3.09
607664561,607664566,4,2573,1634,2050.43,-0.454042,-27.9949,-31.7219,-29.8584,4.09
609576688,609576694,5,2659,1169,1763.06,-0.821801,-35.5471,-49.1578,-42.3524,5.09
611669934,611669941,6,2651,1464,1970.04,-0.593765,-43.6187,-38.3169,-40.9678,6.09
613205966,613205960,-6,30654,13194,20110.9,-0.843001,38.2688,-50.1705,-5.95084,-5.91
616504694,616504690,-4,545,2265,1111.05,1.42454,24.2562,53.442,38.8491,-3.91
617047693,617047699,5,3369,1263,2062.78,-0.981126,-35.5471,-56.7891,-46.1681,5.09
623720489,623720471,-18,367,1130,643.98,1.12461,184.387,40.2826,112.335,-17.91
626153339,626153333,-6,1667,10288,4141.27,1.81995,38.2688,70.5362,54.4025,-5.91
629792279,629792282,2,1659,1157,1385.45,-0.360385,-14.0977,-27.3215,-20.7096,2.09
630853986,630853986,0,2019,2503,2248.01,0.214888,-1.22487,-0.648558,-0.936711,0.09
632633425,632633432,6,1753,764,1157.28,-0.830516,-43.6187,-49.574,-46.5963,6.09
634438396,634438402,5,2401,1203,1699.53,-0.691067,-35.5471,-42.9309,-39.239,5.09
640190183,640190191,7,2613,1080,1679.89,-0.883538,-52.2974,-52.1093,-52.2033,7.09
640291220,640291204,-16,2825,1584,2115.37,-0.578555,149.137,-37.5972,55.7701,-15.91
644114676,644114683,6,4701,1253,2427.0,-1.32223,-43.6187,-73.2854,-58.452,6.09
648018034,648018041,6,2819,1484,2045.34,-0.641641,-43.6187,-40.585,-42.1018,6.09
648580393,648580399,5,3531,1443,2257.26,-0.894857,-35.5471,-52.6512,-44.0991,5.09
652023114,652023118,3,2410,1242,1730.09,-0.662904,-20.8744,-41.5936,-31.234,3.09
654935314,654935322,7,4323,1627,2652.08,-0.977212,-52.2974,-56.6011,-54.4492,7.09
654983187,654983193,5,1817,884,1267.37,-0.720485,-35.5471,-44.3293,-39.9382,5.09
655277879,655277891,11,1295,147,436.308,-2.17583,-94.8394,-115.509,-105.174,11.09
657914177,657914183,5,3774,1679,2517.25,-0.809937,-35.5471,-48.5914,-42.0692,5.09
666528609,666528615,5,3404,1687,2396.36,-0.701999,-35.5471,-43.4504,-39.4987,5.09
666597794,666597798,3,2437,1208,1715.78,-0.701802,-20.8744,-43.441,-32.1577,3.09
667672406,667672413,6,2505,1179,1718.54,-0.753622,-43.6187,-45.9064,-44.7626,6.09
674414460,674414468,7,2240,1273,1688.64,-0.5651,-52.2974,-36.9609,-44.6292,7.09
674520412,674520424,11,2556,1419,1904.46,-0.588491,-94.8394,-38.0673,-66.4534,11.09
682202031,682202030,-1,28234,17984,22533.5,-0.451044,5.04683,-31.5809,-13.267,-0.91
685538447,685538454,6,2722,969,1624.07,-1.03286,-43.6187,-59.2771,-51.4479,6.09
685859469,685859450,-19,2838,1066,1739.34,-0.979186,204.217,-56.6959,73.7606,-18.91
686011902,686011909,6,3489,1397,2207.74,-0.915288,-43.6187,-53.6299,-48.6243,6.09
686153792,686153787,-5,688,3584,1570.28,1.65045,31.0834,63.2435,47.1635,-4.91
690292669,690292675,5,2194,935,1432.27,-0.852935,-35.5471,-50.6453,-43.0962,5.09
691152233,691152235,1,1728,1116,1388.69,-0.437214,-7.57712,-30.9301,-19.2536,1.09
695396316,695396322,5,4262,1480,2511.53,-1.0577,-35.5471,-60.4734,-48.0102,5.09
698065987,698065997,9,2679,1195,1789.25,-0.807297,-71.8275,-48.4654,-60.1464,9.09
711585304,711585292,-12,1004,325,571.227,-1.12792,93.8202,-63.8619,14.9791,-11.91
711859890,711859886,-4,1089,2572,1673.59,0.859424,24.2562,28.509,26.3826,-3.91
712599838,712599847,8,2975,1281,1952.17,-0.842603,-61.6711,-50.1515,-55.9113,8.09
718214364,718214370,5,3202,1109,1884.41,-1.06032,-35.5471,-60.5997,-48.0734,5.09
718769499,718769506,6,2857,1086,1761.45,-0.967271,-43.6187,-56.1236,-49.8711,6.09
726320153,726320155,1,3814,3136,3458.43,-0.19573,-7.57712,-19.6247,-13.6009,1.09
726934161,726934167,5,2298,1152,1627.05,-0.69054,-35.5471,-42.9058,-39.2265,5.09
731816451,731816451,0,1240,1326,1282.28,0.0670555,-1.22487,-7.4445,-4.33468,0.09
736373451,736373448,-3,1333,2205,1714.43,0.503295,17.6996,12.4934,15.0965,-2.91
742981770,742981775,4,2872,1389,1997.3,-0.726425,-27.9949,-44.6118,-36.3034,4.09
748634320,748634324,3,2726,939,1599.91,-1.06578,-20.8744,-60.8627,-40.8686,3.09
750431868,750431874,5,3061,1262,1965.45,-0.886044,-35.5471,-52.2292,-43.8882,5.09
751530802,751530802,0,1356,1801,1562.74,0.283803,-1.22487,2.50571,0.640423,0.09
756089551,756089556,4,13528,27733,19369.4,0.717861,-27.9949,22.1709,-2.91204,4.09
756453534,756453536,1,1794,1334,1547.0,-0.296266,-7.57712,-24.3183,-15.9477,1.09
756502291,756502297,5,2977,1305,1971.04,-0.824713,-35.5471,-49.2968,-42.4219,5.09
761935028,761935016,-12,1038,1194,1113.27,0.140013,93.8202,-4.08554,44.8673,-11.91
768625832,768625838,5,2278,1032,1533.26,-0.791799,-35.5471,-47.726,-41.6365,5.09
769051780,769051788,7,2298,1349,1760.68,-0.532676,-52.2974,-35.429,-43.8632,7.09
769955938,769955938,0,591,255,388.207,-0.840552,-1.22487,-50.0535,-25.6392,0.09
770476673,770476690,16,1083,17,135.687,-4.15428,-172.21,-218.554,-195.382,16.09
771209489,771209494,4,2344,1080,1591.08,-0.774898,-27.9949,-46.9201,-37.4575,4.09
777865242,777865247,4,2403,1066,1600.5,-0.812805,-27.9949,-48.7282,-38.3616,4.09
779736131,779736134,2,2293,1648,1943.93,-0.330299,-14.0977,-25.9114,-20.0046,2.09
784197190,784197194,3,3269,1140,1930.46,-1.05346,-20.8744,-60.2691,-40.5717,3.09
784664944,784664950,5,2782,1424,1990.37,-0.6697,-35.5471,-41.9162,-38.7316,5.09
784848664,784848670,5,3612,1185,2068.87,-1.11452,-35.5471,-63.2145,-49.3808,5.09
785162066,785162074,7,2933,1315,1963.9,-0.802189,-52.2974,-48.2216,-50.2595,7.09
