fTNear,fTFar,fDelT,fQNear,fQFar,fQMean,fQRatio,fZDelT,fZQ,fZMean,correct
1408642938,1408642933,-5,935,1956,1352.35,0.73811,31.0834,23.0797,27.0815,-4.91
1409358733,1409358728,-5,1180,3524,2039.2,1.09408,31.0834,38.9338,35.0086,-4.91
1409874099,1409874095,-4,1131,2460,1668.01,0.777059,24.2562,24.8258,24.541,-3.91
1411084073,1411084068,-5,1443,3359,2201.6,0.844919,31.0834,27.8613,29.4723,-4.91
1413634515,1413634511,-4,1398,3744,2287.82,0.985112,24.2562,34.1054,29.1808,-3.91
1426478814,1426478810,-4,846,1985,1295.88,0.852855,24.2562,28.2157,26.236,-3.91
1430279579,1430279575,-4,1568,3381,2302.48,0.768371,24.2562,24.4366,24.3464,-3.91
1430665539,1430665534,-5,1552,2890,2117.85,0.621712,31.0834,17.8448,24.4641,-4.91
1435656014,1435655997,-17,1781,1247,1490.27,-0.356434,166.057,-27.1363,69.4601,-16.91
1437470847,1437470843,-4,959,3066,1714.73,1.16224,24.2562,41.9426,33.0994,-3.91
1449807685,1449807678,-7,2134,8064,4148.32,1.32941,45.9003,49.2861,47.5932,-6.91
1451028038,1451028034,-4,1239,4009,2228.71,1.17424,24.2562,42.4714,33.3638,-3.91
1451800962,1451800956,-6,594,2814,1292.87,1.55548,38.2688,59.1347,48.7018,-5.91
1455453549,1455453546,-3,1391,3882,2323.76,1.02633,17.6996,35.9342,26.8169,-2.91
1457211098,1457211095,-3,1360,2699,1915.89,0.685397,17.6996,20.7121,19.2058,-2.91
1458303089,1458303085,-4,1136,3564,2012.14,1.14337,24.2562,41.1105,32.6834,-3.91
1459600418,1459600414,-4,1453,3666,2307.96,0.925471,24.2562,31.4535,27.8549,-3.91
1464188741,1464188738,-3,1296,2506,1802.16,0.659405,17.6996,19.5428,18.6212,-2.91
1468225815,1468225811,-4,1052,2387,1584.65,0.819344,24.2562,26.7183,25.4873,-3.91
1468567546,1468567525,-21,1078,816,937.896,-0.278448,248.726,-23.4851,112.62,-20.91
1468649110,1468649102,-8,1106,2723,1735.41,0.900984,54.0655,30.3628,42.2142,-7.91
1478066978,1478066980,1,2302,1264,1705.79,-0.599497,-7.57712,-38.5882,-23.0827,1.09
1480970652,1480970648,-4,1456,2156,1771.76,0.392562,24.2562,7.46577,15.861,-3.91
1484209845,1484209840,-5,1047,3639,1951.93,1.24578,31.0834,45.6188,38.3511,-4.91
1485366315,1485366312,-3,407,2326,972.976,1.74309,17.6996,67.236,42.4678,-2.91
1486471058,1486471079,20,547,1854,1007.04,1.22065,-260.308,44.5144,-107.897,20.09
1488037381,1488037385,3,4120,2690,3329.08,-0.426312,-20.8744,-30.4174,-25.6459,3.09
1491506731,1491506732,0,1916,2520,2197.34,0.274019,-1.22487,2.05844,0.41679,0.09
1493631784,1493631780,-4,1036,2426,1585.35,0.850877,24.2562,28.1274,26.1918,-3.91
1498208498,1498208501,2,1139,1325,1228.48,0.151262,-14.0977,-3.56853,-8.83312,2.09
1498605690,1498605683,-7,1155,2968,1851.5,0.943788,45.9003,32.2687,39.0845,-6.91
1503119439,1503119435,-4,1396,2919,2018.64,0.73763,24.2562,23.0582,23.6572,-3.91
1504327427,1504327426,-1,1017,1285,1143.17,0.233902,5.04683,0.222592,2.63471,-0.91
1507048277,1507048273,-4,1086,2567,1669.66,0.860237,24.2562,28.5453,26.4008,-3.91
1507585846,1507585843,-3,612,2624,1267.24,1.45572,17.6996,54.8004,36.25,-2.91
1508543589,1508543584,-5,1113,2937,1808.0,0.97033,31.0834,33.4487,32.2661,-4.91
1511441221,1511441221,0,23240,20179,21655.5,-0.141232,-1.22487,-17.0882,-9.15654,0.09
1512568661,1512568657,-4,877,2543,1493.39,1.06459,24.2562,37.6293,30.9428,-3.91
1512871322,1512871313,-9,359,1363,699.512,1.33412,62.8524,49.4922,56.1723,-8.91
1513521658,1513521659,0,1690,1869,1777.25,0.100675,-1.22487,-5.89544,-3.56015,0.09
1520283903,1520283900,-3,1076,3164,1845.12,1.07859,17.6996,38.2485,27.9741,-2.91
1521021633,1521021653,19,1333,3912,2283.57,1.07662,-235.749,38.1614,-98.7938,19.09
1529010855,1529010849,-6,1409,2815,1991.57,0.692082,38.2688,21.0126,29.6407,-5.91
1537921321,1537921315,-6,931,3430,1786.99,1.30406,38.2688,48.1756,43.2222,-5.91
1546833313,1546833311,-2,38364,17181,25673.6,-0.803315,11.3257,-48.2754,-18.4748,-1.91
1549111518,1549111513,-5,996,1834,1351.54,0.610507,31.0834,17.3396,24.2115,-4.91
1550108900,1550108893,-7,557,1993,1053.61,1.27483,45.9003,46.8942,46.3972,-6.91
1552442347,1552442351,3,203,876,421.697,1.46216,-20.8744,55.0807,17.1031,3.09
1558615591,1558615589,-2,1286,2199,1681.64,0.536466,11.3257,13.9951,12.6604,-1.91
1564232251,1564232246,-5,979,2597,1594.51,0.975581,31.0834,33.6821,32.3827,-4.91
1570010167,1570010162,-5,856,2685,1516.03,1.14317,31.0834,41.1015,36.0924,-4.91
1570156155,1570156174,18,702,2958,1441.01,1.43834,-212.938,54.0431,-79.4476,18.09
1570997575,1570997571,-4,723,3250,1532.89,1.503,24.2562,56.8568,40.5565,-3.91
1572653704,1572653698,-6,872,3123,1650.23,1.27576,38.2688,46.935,42.6019,-5.91
1574540061,1574540055,-6,1007,2404,1555.9,0.870158,38.2688,28.9881,33.6285,-5.91
1574881939,1574881954,14,730,3088,1501.41,1.44223,-137.422,54.213,-41.6044,14.09
