fTNear,fTFar,fDelT,fQNear,fQFar,d
1298003000,1298002991,-9,1345,1561,-10
1300006639,1300006642,3,1866,1270,-10
1304118340,1304118344,4,2561,1564,-10
1305958054,1305958055,1,1261,1648,-10
1306182173,1306182176,3,2385,2242,-10
1308503413,1308503414,1,1360,1535,-10
1310345074,1310345075,1,1570,2128,-10
1313584339,1313584341,2,833,1087,-10
1317023733,1317023734,1,1447,1328,-10
1318120129,1318120132,3,1207,1580,-10
1319919186,1319919188,2,2029,2471,-10
1320368795,1320368798,3,2028,1576,-10
1323370214,1323370214,0,1447,1634,-10
1325400818,1325400821,3,2085,1837,-10
1327627115,1327627122,7,2301,711,-10
1329650962,1329650963,1,2079,1601,-10
1331022060,1331022070,10,150,1090,-10
1335354871,1335354875,4,1998,1514,-10
1336145616,1336145614,-2,1433,1346,-10
1342075574,1342075575,1,1743,1178,-10
1342351040,1342351042,2,1365,1532,-10
1343209209,1343209229,20,543,1409,-10
1343414738,1343414738,0,1315,1349,-10
1346842072,1346842078,6,3067,1456,-10
1347115507,1347115510,3,1352,1669,-10
1347259095,1347259102,7,2541,1120,-10
1349228365,1349228367,2,1497,1489,-10
1353471078,1353471078,0,1905,1818,-10
1356435804,1356435805,1,1605,1748,-10
1357543810,1357543816,6,2644,1120,-10
1363759913,1363759932,19,15495,43433,-10
1365788410,1365788411,1,1516,1308,-10
1367284257,1367284258,1,1013,999,-10
1368209858,1368209858,0,666,1116,-10
1370586829,1370586827,-2,813,1606,-10
1371859110,1371859111,1,880,958,-10
1375011697,1375011701,4,1705,1462,-10
1381601970,1381601973,3,1139,1385,-10
1383258459,1383258457,-2,1827,2178,-10
1387278987,1387278988,1,1096,1771,-10
1388191686,1388191681,-5,1349,4051,-10
1389371485,1389371487,2,2046,1603,-10
1389613622,1389613623,1,1625,1516,-10
1390450644,1390450645,1,1386,1273,-10
1392631918,1392631920,2,1550,1481,-10
1393592118,1393592119,1,2486,1911,-10
1394190081,1394190082,1,1092,1348,-10
1394546883,1394546886,3,1106,1043,-10
1395310153,1395310153,0,1730,1833,-10
1399868930,1399868932,2,1359,1485,-10
1403653437,1403653438,1,1442,1237,-10
1405503586,1405503589,3,1178,1761,-10
1413683146,1413683152,6,1837,1399,-10
1415920676,1415920678,2,1551,1980,-10
1416336210,1416336211,1,1760,1537,-10
1416694985,1416694986,1,1456,1353,-10
1418930086,1418930089,3,1881,1721,-10
1422891585,1422891586,1,1402,1232,-10
